50000 50000
1 25328 31
2 26736 4
3 21764 41
4 44737 9
5 42492 47
6 6977 49
7 28290 10
8 20816 14
9 3868 54
10 22018 11
11 16903 23
12 38404 54
13 4307 36
14 16487 13
15 46815 28
16 6708 30
17 35620 41
18 19826 11
19 11560 45
20 16864 54
21 25739 39
22 6001 18
23 19529 53
24 33957 8
25 36012 8
26 40394 42
27 44393 56
28 34464 3
29 47817 4
30 14619 38
31 25654 6
32 48499 13
33 9754 2
34 27512 32
35 17282 18
36 5110 39
37 26805 50
38 23675 2
39 20986 15
40 19448 51
41 36833 40
42 6088 25
43 28326 43
44 36388 38
45 33101 35
46 32843 5
47 39659 35
48 48083 55
49 37883 22
50 47662 22
51 12867 9
52 49048 43
53 15705 31
54 49275 6
55 25325 49
56 6738 7
57 42480 48
58 20291 25
59 17403 13
60 23937 8
61 10555 58
62 1594 12
63 19888 44
64 39311 37
65 28242 7
66 6904 53
67 33282 60
68 33523 5
69 37748 21
70 31624 24
71 14226 25
72 46543 47
73 49606 20
74 21177 30
75 2432 32
76 15011 29
77 23267 52
78 11154 35
79 18446 4
80 13793 33
81 34858 41
82 44350 26
83 16809 31
84 3135 49
85 19341 8
86 32412 46
87 10945 7
88 9584 29
89 12789 42
90 18368 38
91 32730 55
92 9967 25
93 36194 19
94 23542 3
95 7834 52
96 36990 23
97 12474 36
98 23525 47
99 21261 15
100 34973 16
101 15666 8
102 33911 49
103 49196 4
104 26662 12
105 36034 40
106 39330 7
107 48448 10
108 25783 55
109 11360 15
110 19431 30
111 24638 30
112 45946 31
113 29997 11
114 30788 59
115 13707 46
116 15384 2
117 40407 30
118 24354 4
119 20887 53
120 20240 48
121 17709 14
122 8226 15
123 41788 44
124 25974 21
125 45852 47
126 3829 52
127 11237 13
128 2726 29
129 31257 38
130 2914 4
131 6989 49
132 9939 37
133 43582 53
134 43134 3
135 9692 11
136 27397 49
137 26898 31
138 17161 9
139 3268 2
140 9021 24
141 6082 55
142 1869 20
143 48830 10
144 7369 43
145 42354 56
146 17608 45
147 49176 2
148 15058 45
149 15461 5
150 6237 4
151 1083 47
152 28698 13
153 27675 30
154 11801 44
155 37750 32
156 25754 53
157 12613 37
158 6631 40
159 4926 37
160 7625 6
161 27962 18
162 45951 8
163 32028 21
164 3196 38
165 40166 35
166 26113 36
167 37842 11
168 46736 32
169 9088 18
170 44672 38
171 24707 29
172 49432 20
173 39955 44
174 19566 15
175 24108 15
176 43901 19
177 24483 12
178 31389 13
179 45471 7
180 49000 3
181 36970 57
182 24600 24
183 4656 24
184 35382 50
185 41144 49
186 35796 55
187 46326 38
188 11276 43
189 19703 4
190 24512 4
191 31473 7
192 42852 18
193 29527 2
194 44848 36
195 26360 43
196 3130 46
197 44222 60
